wl,n,wl,k
1.0907,1.975849,1.0907,3.834275
1.0941,1.984485,1.0941,3.847754
1.0975,1.993142,1.0975,3.861177
1.10089,2.001821,1.10089,3.874545
1.10429,2.01052,1.10429,3.887857
1.10769,2.01924,1.10769,3.901115
1.11109,2.027981,1.11109,3.914318
1.11449,2.036741,1.11449,3.927467
1.11789,2.045521,1.11789,3.940563
1.12129,2.054319,1.12129,3.953606
1.1247,2.063137,1.1247,3.966596
1.1281,2.071973,1.1281,3.979533
1.1315,2.080827,1.1315,3.992419
1.1349,2.089699,1.1349,4.005252
1.13831,2.098588,1.13831,4.018035
1.14171,2.107495,1.14171,4.030766
1.14511,2.116418,1.14511,4.043447
1.14852,2.125357,1.14852,4.056078
1.15192,2.134313,1.15192,4.068659
1.15533,2.143285,1.15533,4.08119
1.15874,2.152272,1.15874,4.093672
1.16214,2.161274,1.16214,4.106106
1.16555,2.170292,1.16555,4.118491
1.16896,2.179324,1.16896,4.130827
1.17237,2.188371,1.17237,4.143116
1.17578,2.197432,1.17578,4.155357
1.17918,2.206507,1.17918,4.167552
1.18259,2.215595,1.18259,4.179699
1.186,2.224697,1.186,4.191799
1.18942,2.233812,1.18942,4.203854
1.19283,2.24294,1.19283,4.215862
1.19624,2.252081,1.19624,4.227825
1.19965,2.261234,1.19965,4.239742
1.20306,2.270399,1.20306,4.251614
1.20647,2.279576,1.20647,4.263441
1.20989,2.288765,1.20989,4.275224
1.2133,2.297966,1.2133,4.286963
1.21672,2.307177,1.21672,4.298658
1.22013,2.3164,1.22013,4.310309
1.22355,2.325634,1.22355,4.321916
1.22696,2.334879,1.22696,4.333481
1.23038,2.344134,1.23038,4.345002
1.23379,2.353399,1.23379,4.356481
1.23721,2.362674,1.23721,4.367918
1.24063,2.371959,1.24063,4.379313
1.24405,2.381254,1.24405,4.390666
1.24747,2.390558,1.24747,4.401977
1.25088,2.399872,1.25088,4.413247
1.2543,2.409195,1.2543,4.424476
1.25772,2.418527,1.25772,4.435665
1.26114,2.427867,1.26114,4.446812
1.26456,2.437216,1.26456,4.45792
1.26799,2.446574,1.26799,4.468987
1.27141,2.45594,1.27141,4.480015
1.27483,2.465314,1.27483,4.491003
1.27825,2.474696,1.27825,4.501951
1.28168,2.484085,1.28168,4.512861
1.2851,2.493482,1.2851,4.523731
1.28852,2.502887,1.28852,4.534563
1.29195,2.512299,1.29195,4.545357
1.29537,2.521718,1.29537,4.556112
1.2988,2.531144,1.2988,4.566829
1.30222,2.540578,1.30222,4.577509
1.30565,2.550017,1.30565,4.588151
1.30908,2.559464,1.30908,4.598756
1.31251,2.568916,1.31251,4.609323
1.31593,2.578375,1.31593,4.619854
1.31936,2.587841,1.31936,4.630348
1.32279,2.597312,1.32279,4.640805
1.32622,2.606789,1.32622,4.651226
1.32965,2.616272,1.32965,4.661611
1.33308,2.62576,1.33308,4.67196
1.33651,2.635254,1.33651,4.682274
1.33994,2.644753,1.33994,4.692552
1.34337,2.654258,1.34337,4.702794
1.3468,2.663768,1.3468,4.713002
1.35024,2.673283,1.35024,4.723175
1.35367,2.682802,1.35367,4.733313
1.3571,2.692327,1.3571,4.743416
1.36054,2.701856,1.36054,4.753485
1.36397,2.711389,1.36397,4.76352
1.36741,2.720927,1.36741,4.773521
1.37084,2.73047,1.37084,4.783489
1.37428,2.740016,1.37428,4.793422
1.37771,2.749567,1.37771,4.803323
1.38115,2.759122,1.38115,4.81319
1.38459,2.76868,1.38459,4.823024
1.38803,2.778243,1.38803,4.832825
1.39146,2.787809,1.39146,4.842593
1.3949,2.797379,1.3949,4.852329
1.39834,2.806952,1.39834,4.862033
1.40178,2.816528,1.40178,4.871704
1.40522,2.826108,1.40522,4.881343
1.40866,2.835692,1.40866,4.89095
1.4121,2.845278,1.4121,4.900526
1.41554,2.854867,1.41554,4.91007
1.41899,2.864459,1.41899,4.919583
1.42243,2.874055,1.42243,4.929065
1.42587,2.883652,1.42587,4.938516
1.42931,2.893253,1.42931,4.947935
1.43276,2.902856,1.43276,4.957325
1.4362,2.912462,1.4362,4.966683
1.43965,2.92207,1.43965,4.976011
1.44309,2.93168,1.44309,4.985309
1.44654,2.941293,1.44654,4.994577
1.44998,2.950908,1.44998,5.003815
1.45343,2.960525,1.45343,5.013023
1.45688,2.970143,1.45688,5.022201
1.46032,2.979764,1.46032,5.031351
1.46377,2.989387,1.46377,5.04047
1.46722,2.999012,1.46722,5.049561
1.47067,3.008638,1.47067,5.058622
1.47412,3.018266,1.47412,5.067655
1.47757,3.027895,1.47757,5.076658
1.48102,3.037526,1.48102,5.085634
1.48447,3.047159,1.48447,5.094581
1.48792,3.056793,1.48792,5.103499
1.49137,3.066428,1.49137,5.112389
1.49482,3.076064,1.49482,5.121251
1.49828,3.085702,1.49828,5.130086
1.50173,3.09534,1.50173,5.138892
1.50518,3.10498,1.50518,5.147671
1.50864,3.114621,1.50864,5.156423
1.51209,3.124262,1.51209,5.165147
1.51555,3.133905,1.51555,5.173844
1.519,3.143548,1.519,5.182513
1.52246,3.153192,1.52246,5.191156
1.52591,3.162837,1.52591,5.199772
1.52937,3.172482,1.52937,5.208361
1.53283,3.182127,1.53283,5.216924
1.53628,3.191774,1.53628,5.22546
1.53974,3.201421,1.53974,5.23397
1.5432,3.211067,1.5432,5.242454
1.54666,3.220715,1.54666,5.250911
1.55012,3.230363,1.55012,5.259343
1.55358,3.240011,1.55358,5.267749
1.55704,3.249659,1.55704,5.27613
1.5605,3.259307,1.5605,5.284484
1.56396,3.268955,1.56396,5.292813
1.56742,3.278603,1.56742,5.301117
1.57089,3.288252,1.57089,5.309396
1.57435,3.2979,1.57435,5.317649
1.57781,3.307548,1.57781,5.325878
1.58128,3.317196,1.58128,5.334082
1.58474,3.326843,1.58474,5.342261
1.5882,3.336491,1.5882,5.350415
1.59167,3.346138,1.59167,5.358545
1.59514,3.355785,1.59514,5.366651
1.5986,3.365431,1.5986,5.374732
1.60207,3.375077,1.60207,5.382789
1.60553,3.384722,1.60553,5.390822
1.609,3.394367,1.609,5.398831
1.61247,3.404011,1.61247,5.406816
1.61594,3.413655,1.61594,5.414778
