wl,n,wl,k
1.26523,3.41E+00,1.26523,0.00E+00
1.29159,3.41E+00,1.29159,0.00E+00
1.31907,3.40E+00,1.31907,0.00E+00
1.34775,3.40E+00,1.34775,0.00E+00
1.3777,3.39E+00,1.3777,0.00E+00
1.40901,3.39E+00,1.40901,0.00E+00
1.44177,3.39E+00,1.44177,0.00E+00
1.4761,3.38E+00,1.4761,0.00E+00
1.5121,3.38E+00,1.5121,0.00E+00
1.54991,3.38E+00,1.54991,0.00E+00
1.58965,3.38E+00,1.58965,0.00E+00
1.63148,3.38E+00,1.63148,0.00E+00
1.67558,3.38E+00,1.67558,0.00E+00
1.72212,3.37E+00,1.72212,0.00E+00
1.77132,3.37E+00,1.77132,0.00E+00
1.82342,3.37E+00,1.82342,0.00E+00
1.87868,3.37E+00,1.87868,0.00E+00
