wl,n,wl,k
,,1.052,1.35E-06
,,1.053,1.33E-06
,,1.054,1.32E-06
,,1.055,1.30E-06
,,1.056,1.29E-06
,,1.057,1.28E-06
,,1.058,1.26E-06
,,1.059,1.26E-06
,,1.06,1.25E-06
,,1.061,1.24E-06
,,1.062,1.23E-06
,,1.063,1.23E-06
,,1.064,1.22E-06
,,1.065,1.22E-06
,,1.066,1.21E-06
,,1.067,1.21E-06
,,1.068,1.21E-06
,,1.069,1.21E-06
,,1.07,1.21E-06
,,1.071,1.21E-06
,,1.072,1.21E-06
,,1.073,1.21E-06
,,1.074,1.22E-06
,,1.075,1.22E-06
,,1.076,1.23E-06
,,1.077,1.24E-06
,,1.078,1.24E-06
,,1.079,1.25E-06
,,1.08,1.26E-06
,,1.081,1.28E-06
,,1.082,1.29E-06
,,1.083,1.30E-06
,,1.084,1.32E-06
,,1.085,1.34E-06
,,1.086,1.35E-06
,,1.087,1.37E-06
,,1.088,1.39E-06
,,1.089,1.40E-06
,,1.09,1.42E-06
,,1.091,1.45E-06
,,1.092,1.47E-06
,,1.093,1.50E-06
,,1.094,1.51E-06
,,1.095,1.54E-06
,,1.096,1.57E-06
,,1.097,1.59E-06
,,1.098,1.62E-06
,,1.099,1.64E-06
,,1.1,1.67E-06
,,1.101,1.70E-06
,,1.102,1.73E-06
,,1.103,1.76E-06
,,1.104,1.78E-06
,,1.105,1.81E-06
,,1.106,1.84E-06
,,1.107,1.87E-06
,,1.108,1.90E-06
,,1.109,1.92E-06
,,1.11,1.95E-06
,,1.111,1.98E-06
,,1.112,2.02E-06
,,1.113,2.05E-06
,,1.114,2.07E-06
,,1.115,2.11E-06
,,1.116,2.14E-06
,,1.117,2.18E-06
,,1.118,2.22E-06
,,1.119,2.25E-06
,,1.12,2.30E-06
,,1.121,2.35E-06
,,1.122,2.40E-06
,,1.123,2.47E-06
,,1.124,2.53E-06
,,1.125,2.61E-06
,,1.126,2.68E-06
,,1.127,2.77E-06
,,1.128,2.87E-06
,,1.129,2.98E-06
,,1.13,3.11E-06
,,1.131,3.26E-06
,,1.132,3.41E-06
,,1.133,3.59E-06
,,1.134,3.90E-06
,,1.135,4.14E-06
,,1.136,4.39E-06
,,1.137,4.66E-06
,,1.138,4.95E-06
,,1.139,5.27E-06
,,1.14,5.58E-06
,,1.141,5.91E-06
,,1.142,6.25E-06
,,1.143,6.59E-06
,,1.144,6.94E-06
,,1.145,7.28E-06
,,1.146,7.61E-06
,,1.147,7.95E-06
,,1.148,8.26E-06
,,1.149,8.68E-06
,,1.15,8.96E-06
,,1.15,8.65E-06
,,1.15125,8.95E-06
,,1.1525,9.26E-06
,,1.15375,9.46E-06
,,1.155,9.65E-06
,,1.15625,9.85E-06
,,1.1575,1.00E-05
,,1.15875,1.01E-05
,,1.16,1.02E-05
,,1.16125,1.04E-05
,,1.1625,1.05E-05
,,1.16375,1.06E-05
,,1.165,1.07E-05
,,1.16625,1.08E-05
,,1.1675,1.08E-05
,,1.16875,1.09E-05
,,1.17,1.09E-05
,,1.17125,1.10E-05
,,1.1725,1.10E-05
,,1.17375,1.11E-05
,,1.175,1.11E-05
,,1.17625,1.12E-05
,,1.1775,1.12E-05
,,1.17875,1.13E-05
,,1.18,1.14E-05
,,1.18125,1.14E-05
,,1.1825,1.15E-05
,,1.18375,1.15E-05
,,1.185,1.15E-05
,,1.18625,1.16E-05
,,1.1875,1.16E-05
,,1.18875,1.17E-05
,,1.19,1.17E-05
,,1.19125,1.18E-05
,,1.1925,1.19E-05
,,1.19375,1.20E-05
,,1.195,1.20E-05
,,1.19625,1.20E-05
,,1.1975,1.20E-05
,,1.19875,1.20E-05
,,1.2,1.20E-05
,,1.20125,1.20E-05
,,1.2025,1.20E-05
,,1.20375,1.20E-05
,,1.205,1.20E-05
,,1.20625,1.20E-05
,,1.2075,1.20E-05
,,1.20875,1.19E-05
,,1.21,1.19E-05
,,1.21125,1.20E-05
,,1.2125,1.19E-05
,,1.21375,1.19E-05
,,1.215,1.19E-05
,,1.21625,1.18E-05
,,1.2175,1.18E-05
,,1.21875,1.18E-05
